,vendor_key,vendor,type_key,type,model_key,model
264,,,TRT-AL00,huawei_phone,ARS-AL00,huawei_phone_changxiangmax
265,,,GEM-703L,huawei_phone,vivo-Y67,vivo_phone_y67
266,,,vivo-Y75A,vivo_phone,vivo-Z3,vivo_phone_z3
267,,,vivo-Z1,vivo_phone,HUAWEI_G9_Plus,huawei_phone_g9plus
268,,,meilan-X,meizu_phone,vivo-X9,vivo_phone_x9
269,,,ONEPLUSA3000,oneplus_phone,HS100,tplink_plug_hs100
270,,,GearSport,samsung_watch,Honor_7C,huawei_phone_honor7c
271,,,43385,blackshark_phone,Smartisan-U2-Pro,smartisan_phone_u2pro
272,,,OnePlus_5,oneplus_phone,MI8UD,xiaomi_phone_8ud
273,,,OnePlus_6,oneplus_phone,Wireless N Router WR700N,tplink_router_tl-wr700n
274,,,MEIZU-PRO-5,meizu_phone,MI8,xiaomi_phone_8
275,,,Amazfit_Sports_Watch,xiaomi_watch,Honor_V9,huawei_phone_honorv9
276,,,GearFit2-6E57,samsung_wristband,Honor_5A,huawei_phone_honor5a
277,,,MT7-TL10,huawei_phone,vivo-Xplay6,vivo_phone_xplay6
278,,,vivo_V3,vivo_phone,ATU-AL10,huawei_phone_changxiang8e
279,,,MI4LTE,xiaomi_phone,D331pAP,apple_phone_xsmax
280,,,MI8ExplorerEdition-x,xiaomi_phone,360-1801-A01,qiku360_phone_n6pro
281,,,memobird2,memobird_printer,MYA-AL10,huawei_phone_honor6play
282,,,MEIZU-16th-Plus,meizu_phone,Honor_8,huawei_phone_honor8
283,,,MEIZU-MX5,meizu_phone,OPPO-Find-X,oppo_phone_findx
284,,,RIO-AL00,huawei_phone,AGS2-W09,huawei_pad_mediapad-t5
285,,,JKM-TL00,huawei_phone,DIG-AL00,huawei_phone_changxiang6s
286,,,SLA-AL00,huawei_phone,N61AP,apple_phone_6
287,,,Galaxy-Tab-S3,samsung_pad,MI5X,xiaomi_phone_5x
288,,,Pantech,pantech_phone,MI6,xiaomi_phone_6
289,,,b4c0f5,tinno_phone,MI5sPlus,xiaomi_phone_5splus
290,,,Ragentek,rgk_phone,MI5s-xiaomishouji,xiaomi_phone_5s
291,,,806ab0,tinno_phone,MIX2S,xiaomi_phone_2s
292,,,7cb960,xcheng_phone,MIPAD4PLUS,xiaomi_pad_4plus
293,,,4.09E+03,ereneben_pad,"MacBook8,1","apple_computer_macbook8,1"
294,,,BluProdu,blu_phone,iPhone7,apple_phone_7
295,,,OPPO-A77,oppo_phone,iPhone-7-plus,apple_phone_7plus
296,,,vivo-NEX-S,vivo_phone,NX563J,nubia_phone_z17
297,,,HUAWEI_Mate_8,huawei_phone,MiTV4,xiaomi_tv_4
298,,,,,D321AP,apple_phone_xs
299,,,,,MAIMANG_6,huawei_phone_maimang6
300,,,,,OnePlus5T,oneplus_phone_5t
301,,,,,vivo-Z1i,vivo_phone_z1i
302,,,,,TRT-AL00A,huawei_phone_changxiang7plus
303,,,,,P105AP,"apple_pad_2,5"
304,,,,,Galaxy-C7,samsung_phone_galaxy-c7
305,,,,,HUAWEI_nova_3,huawei_phone_nova3
306,,,,,"AppleTV5,3",apple_tv_a1625
307,,,,,Honor_10_Lite,huawei_phone_honor10lite
308,,,,,vivo-Y53L,vivo_phone_y53l
309,,,,,vivo-Y81s,vivo_phone_y81s
310,,,,,TRT-TL10,huawei_phone_changxiang7plus
311,,,,,DCH-S160,dlink_watersensor_dch-s160
312,,,,,"MacBookAir6,1","apple_computer_macbookair6,1"
313,,,,,vivo-Y97,vivo_phone_y97
