,vendor_key,vendor,type_key,type,model_key,model
129,a4d931,apple,MIX2-,xiaomi_phone,ATU-TL10,huawei_phone_changxiang8e
130,4c569d,apple,surface,microsoft_computer,[TV] Samsung 8 Series (75),samsung_tv_samsung_8_series(75)
131,8cfe57,apple,yeelink-light-bslamp1_,xiaomi_light,HS110,xiaomi_plug
132,58d9c3,motorola,CRR-UL00,huawei_phone,Honor_6A,huawei_phone_honor6a
133,HF-LPB100,ednet,Redmi3S-,xiaomi_phone,PS4,sony_gameconsole_ps4
134,5803fb,hikvision,vivo-Y81s,vivo_phone,vivo_Xplay5A,vivo_phone_xplay5a
135,bcad28,hikvision,MINOTELTE-,xiaomi_phone,,
136,1868cb,hikvision,Tmall-Genie,ali_smartspeaker,GRA-UL00,huawei_phone_p8
137,54c415,hikvision,iPod-touch,apple_ipod,360-1707-A01,qiku360_phone_n6
138,40bc60,apple,PORSCHE_DESIGN_HUAWEI_Mat,huawei_phone,RedmiPro,xiaomi_phone_redmipro
139,70bbe9,xiaomi,Redmi5A-,xiaomi_phone,DCH-S150,dlink_sensor_dch-s150
140,TendaTec,tenda,J71bAP,apple_pad,DCH-G020,dlink_hub_dch-g020
141,cc9ea2,amazon,vivo-Y85A,vivo_phone,DSP-W215,dlink_switch_dsp-w215
142,b40fb3,vivo,J71AP,apple_pad,HP OfficeJet Pro 8720,dlink_switch_dsp-w215
143,3c286d,google,D22AP,apple_phone,,
144,Fitbit,fitbit,MacBook,apple_computer,RedmiNote3,xiaomi_phone_redminote3
145,b87826,nintendo,J82AP,apple_pad,vivo-Y66L,vivo_phone_y66l
146,ec2ce2,apple,PS4,sony_gameconsole,N71AP,apple_phone_6s
147,Hiwifi,hiwifi_router,N69AP,apple_phone,Galaxy-Note5,samsung_phone_galaxy-note5
148,9458cb,nintendo,HUAWEI_M5-,huawei_pad,MEIZU-PRO-7-Plus,meizu_phone_pro7plus
149,ONEPLUSA3000,oneplus,OnePlus5T,oneplus_phone,HUAWEI_Mate_20,huawei_phone_mate20
150,43385,blackshark,Lightify-7B5F6B,osram_light,HUAWEI_nova_2,huawei_phone_nova2
151,d81c79,apple,QuantaCo,quanta_computer,"MacBookPro15,2","apple_computer_macbookpro15,2"
152,Amazfit_Sports_Watch,xiaomi,MiTV4,xiaomi_tv,TL-WR886N,tplink_router_tl-wr886n
153,GearFit2-6E57,samsung,GIONEE-F100SL,gionee_phone,"MacBookPro13,2","apple_computer_macbookpro13,2"
154,memobird2,memobird,DCH-G020,dlink_hub,vivo-Y83A,vivo_phone_y83a
155,f82d7c,apple,DCH-S150,dlink_sensor,MIMAX3,xiaomi_phone_max3
156,283545,chuangwei,DCH-S220,dlink_siren,MEIZU-PRO-7-Plus,meizu_phone_pro7plus
157,b8c74a,oppo,DSP-W215,dlink_switch,RedmiNote7,xiaomi_phone_redminote7
158,90c54a,vivo,DCH-S160,dlink_watersensor,Honor_View10,huawei_phone_honorview10
159,2ca9f0,oppo,"udhcp 1,12,1",ednet_camera,zhimi-airpurifier-sa2,xiaomi_airpurifier_sa2
160,5029f5,oppo,EPSON WF-3640 Series,epson_printer,MINOTELTE,xiaomi_phone_notelte
161,885a06,oppo,Eq-3Entw,eq-3_gateway,OPPO-R15,oppo_phone_r15
162,Sharp,sharp,360-1801-A01,qiku360_phone,MIMAX,xiaomi_phone_max
163,GemtekTe,gemtek,Fiberhom,fiberhome_tv,HUAWEI_nova_2,huawei_phone_nova2
164,c0e862,apple,Smartisan-U2-Pro,smartisan_phone,OnePlus_6T,oneplus_phone_6t
165,c02e25,oppo,Vmware,vitualmachine,MIX3,xiaomi_phone_mix3
166,b4cb57,oppo,MEIZU-PRO-7,meizu_phone,HUAWEI_Mate_10,huawei_phone_mate10
167,Kyocera,kyocera,Lenovo-R720-15IKBN,lenovo_computer,HomePod,apple_smartspeaker_homepod
168,dc080f,apple,LDN-TL10H,huawei_phone,MIX2,xiaomi_phone_mix2
169,c0a600,apple,RedmiS2-,xiaomi_phone,OPPO-A3,oppo_phone_a3
170,90e17b,apple,HUAWEI_Y7_Prime,huawei_phone,MI5,xiaomi_phone_5
171,e83617,apple,SLA-TL10,huawei_phone,Honor_8_Lite,huawei_phone_honor8lite
172,7cd95c,google,HUAWEI_G9_Youth,huawei_phone,RedmiNote5,xiaomi_phone_redminote5
173,20ee28,apple,ATU-AL10-,huawei_phone,yeelink-light-ceiling5,xiaomi_light_yeelink-ceiling5
174,f40616,apple,vivo-Y83A,vivo_phone,RedmiNote4,xiaomi_phone_redminote4
175,c0a600,apple,GRA-UL00-,huawei_phone,N66AP,apple_phone_6splus
176,f8e94e,apple,MI5sPlus-,xiaomi_phone,Tmall-Genie,ali_smartspeaker_tmall-genie
177,e4b2fb,apple,FIG-AL10-,huawei_phone,N71mAP,apple_phone_6s
178,90e17b,apple,RedmiPro-,xiaomi_phone,J81AP,"apple_pad_5,3"
179,fc183c,apple,J96AP,apple_pad,J82AP,"apple_pad_5,4"
180,6cc7ec,samsung,N61AP,apple_phone,D10AP,apple_phone_7
181,YulongCo,yulong,honor_8_lite,huawei_phone,Honor_NOTE_8,huawei_phone_honornote8
182,808223,apple,vivo_X6SPlus,vivo_phone,OnePlus_3T,oneplus_phone_3t
183,Pantech,pantech,bbk-S1P-,bbk_jiajiaoji,HUAWEI_Mate_7,huawei_phone_mate7
184,e4b2fb,apple,FIG-TL10-,huawei_phone,iPad-pro,apple_pad_pro
185,18810e,apple,vivo-Y67L,vivo_phone,J71bAP,"apple_pad_7,5"
186,dc080f,apple,vivo-X21A,vivo_phone,MiWiFi-R1CM-srv,xiaomi_router_mini
187,ChiconyE,chicony,vivo-X21i-A,vivo_phone,N69AP,apple_phone_se
188,3830f9,lg,FLA-AL10,huawei_phone,N53AP,apple_phone_5s
189,KyoceraD,kyocera,ARS-AL00,huawei_phone,"MacBookPro15,1","apple_computer_macbookpro15,1"
190,58c6f0,oppo,vivo-Y67A,vivo_phone,J208AP,"apple_pad_7,4"
191,d467d3,oppo,sonymobi,sony_phone,vivo_X6Plus_D,vivo_phone_x6plus-d
192,b4c0f5,tinno,MIX2S-,xiaomi_phone,"MacBook9,1","apple_computer_macbook9,1"
193,9c0cdf,oppo,RedmiNote7-,xiaomi_phone,J71tAP,"apple_pad_6,11"
